thai,burmese,count,status
ยี่สิบ,နှစ်ဆယ်,4200,Queue
ยี่สิบเอ็ด,နှစ်ဆယ့်တစ်,4200,Queue
ยี่สิบสอง,နှစ်ဆယ့်နှစ်,4200,Queue
ร้อย,ရာ,4200,Queue
หนึ่งพัน,ထောင်,5200,Queue
หนึ่งหมื่น ,သောင်း,5200,Queue
หนึ่งแสน,သိန်း,5200,Queue
หนึ่งล้าน ,သန်း,5200,Queue
สวัสดี,မင်္ဂလာပါ။,6500,Queue
สวัสดีตอนเช้า,ကောင်းသောမနက်ခင်းပါ။,7000,Queue
สวัสดีตอนบ่าย,ကောင်းသောနေ့လည်ခင်းပါ။,6500,Queue
สวัสดีตอนค่ำ,ကောင်းသောညနေခင်းပါ။,8500,Queue
ฝันดี๊นะครับ,ကောင်းသောညချမ်းပါ။,11000,Queue
คุณสาบายดีไหมคับ,နေကောင်းလားခင်ဗျ,7500,Queue
ผมสบายดีคับ,ကျနော်နေကောင်းပါတယ်။,7000,Queue
ผมไม่ค่อยสบายดีคับ,ကျနော်နေမကောင်းဘူး။,9000,Queue
ดีคับ,ကောင်းတယ်။,5000,Queue
งั้นๆนะ,ဒီလိုပါပဲ။,7500,Queue
แย่คับ,ဆိုးတယ်။,6500,Queue
ดีมาก,သိပ်ကောင်းတယ်။,6000,Queue
คุณชื่ออะไร,ခင်ဗျားနာမည်ဘယ်လိုခေါ်လဲ။,8000,Queue
ผมชื่อ,ကျွန်တော့်နာမည်က…,5000,Queue
ชื่อ,နာမည်,5000,Queue
นามสกุล,နာမည်နောက်ဆုံးစာလုံး,6000,Queue
เดี๋ยวเจอกัน,နောက်မှတွေ့မယ်။,12000,Queue
เจอกันพรุ่งนี้,နက်ဖြန်မှတွေ့မယ်။,10000,Queue
เป็นอะไรไหม,အဆင်ပြေလား,14500,Queue
ลาก่อนนะ,သွားတော့မယ်။,13000,Queue
บ๊ายบาย,တာ့တာ,5000,Queue
โชคดี,ကံကောင်းပါစေ,11000,Queue
ดูแลตัวเองดีๆ นะ,ဂရုစိုက်ပါ။,14000,Queue
ต้องไปแล้ว,သွားစရာရှိတယ်။,8500,Queue
ยินดีที่ได้รู้จักคับ,တွေ့ရတာ၀မ်းသာပါတယ်။,10000,Queue
ไม่เจอกันนานเลยนะ,နည်းနည်းကြာပြီနော်။,8700,Queue
คุณพูดภาษาอังกฤษได้ไหมคับ,အင်္ဂလိပ်လိုပြောတတ်လား,7000,Queue
ผมพูดไทยได้นิดหน่อยคับ,ထိုင်းလိုနည်းနည်းပြောတတ်တယ်။,9000,Queue
ผมพูดไทยไม่ได้คับ,ထိုင်းလိုမပြောတတ်ဘူး။,7000,Queue
ผมมาจาก ประเทศ พม่าคับ,ကျွန်တော်(...)နိုင်ငံလာတာ။,7500,Queue
ขออายุเท่าไหร่คับ,အသက်ဘယ်လောက်ရှိပြီလဲ?,7000,Queue
ผมอายุ 37 ปีคับ,၃၇ နှစ်ရှိပြီ။,6000,Queue
คุณช่างงดงาม,မင်းကလှတယ်,15000,Queue
น่าเบื่อมาก,ပျင်းစရာကြီး,16500,Queue
เหนื่อยมาก,အရမ်းပင်ပန်းတယ်,10000,Queue
ขอบคุณมากคับ,ကျေးဇူးအရမ်းတင်ပါတယ်ခင်ဗျ,7000,Queue
ไม่เข้าใจ,နားမလည်ဘူး,7000,Queue
พันคำไทย,ထိုင်းစာလုံးတစ်ထောင်,7000,Queue
ผม,ကျွန်တော်,2000,Queue
ฉัน,ကျွန်မ,6000,Queue
เรา,ငါတို့,4000,Queue
คุณ,ခင်ဗျား/သင်,1000,Queue
เขา,သူ/သူမ,5500,Queue
พวกเขา,သူတို့,5500,Queue
พวกผม,ကျွန်တော်တို့,5000,Queue
เธอ,သူမ,5000,Queue
มัน,၎င်းအရာဝတ္ထု,7000,Queue
ท่าน,လူကြီးမင်း,8500,Queue
กระผม,တပည့်တော်,3500,Queue
จะทำ,လုပ်မယ်,7000,Queue
ไป และ มา,သွား နဲ့ လာ,8000,Queue
จะเห็น,မြင်မယ်,10000,Queue
ผมเห็นผู้หญิงคนหนึ่ง,ကျနော်မိန်းကလေးတယောက်ကို မြင်တယ်,1000,Queue
จะชอบ,ကြိုက်မယ်,8000,Queue
ให้ และ เอา,ပေး နဲ့ ယူ,11700,Queue
ซื้อ และ ขาย,ဝယ်နဲ့ရောင်း,8500,Queue
จะใช้,သုံးမယ်,7500,Queue
จะทำงาน,အလုပ်လုပ်မယ်,3000,Queue
ไม่มา,မလာဘူး,4000,Queue
มาอยู่,လာနေတယ်,8500,Queue
มาแล้ว,လာပြီ,4500,Queue
ยากมา,လာချင်တယ်,7000,Queue
ไม่อยากมา,မလာချင်ဘူး,4000,Queue
ควรมา,လာသင့်တယ်,8000,Queue
ไม่ควรมา,မလာသင့်ဘူး,6000,Queue
เคยมา,လာဖူးတယ်,4500,Queue
ไม่เคยมา,မလာဖူးဘူး,4000,Queue
ต้องมา,လာရမယ်,7500,Queue
ไม่ต้องมา,လာဖို့မလိုဘူး/မလာနဲ့,3000,Queue
เพิ่งมา,အခုပဲလာတယ်,5500,Queue
อย่าเพิ่งมา,မလာသေးဘူး။,4500,Queue
มักจะมา,လာတတ်တယ်။,10000,Queue
คงจะมา,လာချင်လာလိမ့်မယ်,7000,Queue
มี ไม่มี มีไหม มีอีกไหม,ရှိတယ်၊ မရှိဘူး၊ ရှိလား၊ ရှိသေးလား,1500,Queue
เป็นไงบ้าง,ဘယ်လိုနေလဲ,4000,Queue
กระเป๋าสตางค์,ပိုက်ဆံအိတ်,3500,Queue
"อันนี้เรียก 
ว่าอะไร",ဒါကို ဘယ်လိုခေါ်လဲ,6000,Queue
จะพูดภาษาไทยว่าอย่างไร,ထိုင်းလို ဘယ်လိုခေါ်လဲ,1500,Queue
อย่ายอมแพ้ง่ายๆ,လွယ်လွယ်အရှုံးမပေးနဲ့,6500,Queue
เวลา,အချိန်,3500,Queue
ตอนเช้า,မနက်ပိုင်း,5000,Queue
ตอนบ่าย,နေ့လည်ပိုင်း,5500,Queue
ตอนเย็น,ညနေ,8500,Queue
กลางคืน,ည,7500,Queue
กี่โมงแล้ว?,ဘယ်နှနာရီလဲ,6300,Queue
สิบโมงครึ่งเช้า,မနက် ၁၀ နာရီ ခွဲပါ,1500,Queue
ตี 1 เช้า,tee neung chao,1400,Queue
ตี 2 เช้า,tee စုံ chao,1400,Queue
ตี 3 เช้า,tee saam chao,1400,Queue
ตี 4 เช้า,tee sii chao,1400,Queue
ตี 5 เช้า,tee haa chao,1400,Queue
6 โมงเช้า,hok mohng chao,1400,Queue
7 โมงเช้า,jet mohng chao,1400,Queue
8 โมงเช้า,paet mohng chao,1400,Queue
9 โมงเช้า,kao mohng chao,1400,Queue
10 โมงเช้า,sip mohng chao,1400,Queue
11 โมงเช้า,sip et mohng chao,1400,Queue
เที่ยงวัน,Thiang Wan,1400,Queue
บ่ายโมง,bai mohng,1400,Queue
บ่าย 2โมง,bai song mohng,1400,Queue
บ่าย 3 โมง,bai saam mohng,1400,Queue
4 โมงเย็น,sii mohng yen,1400,Queue
5 โมงเย็น,haa mohng yen,1400,Queue
6 โมงเย็น,hok mohng yen,1400,Queue
1 ทุ่ม,neung tum,1400,Queue
2 ทุ่ม,song tum,1400,Queue
3 ทุ่ม,sam tum,1400,Queue
4 ทุ่ม,sii tum,1400,Queue
5 ทุ่ม,ha tum,1400,Queue
เที่ยงคืน,thiang kuen,1400,Queue
สีขาว,အဖြူရောင်,500,Queue
สีชมพู,ပန်းရောင်,4500,Queue
สีเทา,မီးခိုးရောင်,6000,Queue
สีฟ้า,အပြာရောင်,7000,Queue
สีน้ำตาล,အညိုရောင်,6500,Queue
สีฟ้า,မိုးပြာရောင်,5000,Queue
สีม่วง,ခရမ်းရောင်,10500,Queue
สีส้ม,လိမ္မော်ရောင်,8000,Queue
สีเหลือง,အဝါရောင်,4000,Queue
สีเข้ม,အရောင်ရင့်,10600,Queue
สีอ่อน,အရောင်နု,6500,Queue
สีชมพูอ่อน,ပန်းနုရောင်,5000,Queue
มีสีดำไหม,အမဲရောင်ရှိလား,3000,Queue
ยากได้สีเหลือง,အဝါရောင်လိုချင်တယ်။,3500,Queue
ชอบสีอะไร,ဘာအရောင်ကြိုက်လဲ,4000,Queue
สีอะไรก็ได้,ဘာရောင်ဖြစ်ဖြစ်ရတယ်။,3500,Queue
กำหนด,သတ်မှတ်တယ်။,4000,Queue
เรากำหนดวันพรุ่งนี้,မနက်ဖြန် ချိန်းလိုက်ကြတယ်။,1000,Queue
เกี่ยวข้อง,ပတ်သက်တယ်။,8000,Queue
เรื่องนี้เกี่ยวข้องกับคุณ,ဒါမင်းနဲ့ဆိုင်တယ်,2400,Queue
แก้ตัว,ဆင်ခြေပေးတယ်။,4500,Queue
เขาพยายามแก้ตัว,သူဆင်ခြေပေးဖို့ကြိုးစားတယ်။,1100,Queue
กระจาย,ပျံ့နှံ့တယ်။,4500,Queue
แสงกระจายไปทั่วห้อง,အလင်းရောင်က အခန်းတစ်ခုလုံးပျံ့နှံ့သွားတယ်။,2100,Queue
กอด,ဖက်တယ်။,3000,Queue
พมอยากกอดคุณ,မင်းကို ပွေ့ဖက်ချင်တယ်,2100,Queue
กำลังใจ,စိတ်ခွန်အား,6500,Queue
ต้องหาให้เจ๊,တွေ့အောင်ရှာရမယ်။,4500,Queue
ต้องไปให้ถึง,ရောက်အောင်သွားရမယ်။,5500,Queue
ต้องกินให้หมด,ကုန်အောင်စားရမယ်။,4000,Queue
โรงงาน,အလုပ်ရုံ/စက်ရုံ,4500,Queue
ยังไงก็ได้,ဘာပဲဖြစ်ဖြစ်ရတယ်,5000,Queue
จะไปทำงาน,အလုပ်သွားလုပ်မယ်,4500,Queue
คิดว่าผมไม่รู้หรอ,ငါမသိဘူးလို့ထင်နေတာလား,3200,Queue
ไม่มีอะไรทำ,ဘာမှလုပ်စရာမရှိဘူး,3800,Queue
ไม่มีโปร,အကျိုးမရှိဘူး,2500,Queue
ไม่มีใครเอา,ယူမယ့်လူမရှိဘူး,5100,Queue
ไม่มีธุระ,ကိစ္စမရှိဘူး (အလုပ်),4200,Queue
ไม่มีตังค์แล้ว,ပိုက်ဆံမရှိတော့ဘူး,2500,Queue
ไม่มีความหวัง,မျှော်လင့်ချက်မရှိဘူး,4500,Queue
ไม่มีใครมา,ဘယ်သူမှမလာဘူး,3300,Queue
ไม่มีใครเข้าใจผม,ငါ့ကိုဘယ်သူမှ နားမလည်ဘူး,3000,Queue
ไม่มีใครเห็น,ဘယ်သူမှမမြင်ဘူး,3500,Queue
ไม่มีใครเชื่อ,ဘယ်သူမှ မယုံဘူး,3000,Queue
ศาลพระภูมิ,ခြံထောင့်နတ်ကွန်း,1500,Queue
ด่านตรวจ,စစ်ဆေးရေးဂိတ်,3500,Queue
"อา
อ่า
อ้า
อ๊า
อ๋า","Regular
Low
Falling
High
Rising",600,Queue
ประตู,တံခါး,5000,Queue
ตู้เย็น,ရေခဲသေတ္တာ,6000,Queue
เครื่องซักผ้า,အဝတ်လျှော်စက်,6500,Queue
ซักเสื้อผ้า,အဝတ်လျှော်သည်,2500,Queue
เตารีด,မီးပူ,1500,Queue
ไม้กวาด,တံမြက်စည်း,6500,Queue
พื้น,ကြမ်းပြင်,3500,Queue
หม้อหุงข้าว,ထမင်းပေါင်းအိုး,4000,Queue
กระติกน้ำร้อน,ဓါတ်ဗူး,4200,Queue
พัดลม,ပန်ကာ,4500,Queue
ไฟเรือง,မီးသီး/ချောင်း,5500,Queue
ครัว,မီးဖိုချောင်,4000,Queue
มีตู้เย็นอยู่ในครัว,မီးဖိုချောင်မှာ ရေခဲသေတ္တာရှိတယ်။,1500,Queue
แม่ครัว,စားဖိုမှူး(မ),4000,Queue
พ่อครัว,စားဖိုမှူး(ကျား),4000,Queue
เตา,မီးဖို,4000,Queue
เตาแก๊ส,ဂတ်မီးဖို,5000,Queue
หม้อ,ဒယ်အိုး,5000,Queue
หม้อข้าว,ထမင်းပေါင်းအိုး,5500,Queue
กระทะ,ကြော်အိုး,4500,Queue
ตะหลิว,ယောက်မ,6000,Queue
มีด,ဓါး,4000,Queue
มีดคมไหม,ဓါးထက်လား,1500,Queue
ชาม,ပန်းကန်လုံး,4000,Queue
กระจก,ဖန်ခွက်,4500,Queue
ช้อนและส้อม,ဇွန်းနဲ့ ခက်ရင်း,6100,Queue
ตะเกียบ,တူ,4500,Queue
ข้าว,ဆန်,4000,Queue
ข้าวสวย,ထမင်း,4000,Queue
แกง,ဟင်း,4000,Queue
วันนี้กินแกงเขียวหวาน,ဒီနေ့ ဟင်းစိမ်းစားတယ်။,1500,Queue
น้ำซุป,ဟင်းရည်,6000,Queue
ผัก,ဟင်းရွက်,4000,Queue
เนื้อ,အမဲသား,5000,Queue
เนื้อหมู,ဝက်သား,4000,Queue
กุ้ง,ပုဇွန်,4000,Queue
ปู,ဂဏန်း,4500,Queue
น้ำมัน,ဆီ,4000,Queue
เกลือ,ဆား,4000,Queue
ผงชูรส,အချိုမှုန့်,5000,Queue
น้ำปลา,ငံပြာရည်,5000,Queue
ซอส,ဆော့,5500,Queue
อาหารไทย,ထိုင်းအစားအစာ,5200,Queue
เงินไทย,ထိုင်းငွေ,5300,Queue
คนพม่า,ဗမာလူမျိုး,5000,Queue
ชาวจีน,တရုတ်လူမျိုး,6000,Queue
ภาษาจีน,တရုတ်စကား,3000,Queue
เกาหลีใต้,တောင်ကိုရီးယား,3000,Queue
ญี่ปุ่น,ဂျပန်,3000,Queue
ลาว,လာအို,3000,Queue
ไทยใหญ่,ရှမ်း,4000,Queue
กัมพูชา,ကမ္ဘောရီးယား,3500,Queue
เห็นด้วยไหม,သဘောတူပါသလား?,1000,Queue
ที่จอดรถอยู่ที่ไหน,ကားပါကင်ဘယ်မှာလဲ,2500,Queue
ผมสามารถจอดรถที่นี่ได้ไหม,ဒီနေရာကားရပ်လို့ရမလား,2000,Queue
คิด,စဥ်းစားသည်,4000,Queue
พมคิดถึงคุณ,ကိုယ်မင်းကို လွမ်းတယ်,5500,Queue
พมคิดว่ามันดี,ဒါကောင်းမယ် ထင်တယ်,4500,Queue
คิดอะไรอยู่หรอ,ဘာတွေတွေးနေတာလဲ,6500,Queue
คิดมากไปทำไม,ဘာလို့အတွေးများနေတာလဲ,6500,Queue
ไม่ต้องคิดมาก,အရမ်းမတွေးနဲ့,9000,Queue
อย่าคิดมาก,အရမ်းမတွေးနဲ့,6000,Queue
ค่อยค่อยคิด,ဖြည်းဖြည်းစဥ်းစားပါ,5500,Queue
คิดไม่เอา,မစဥ်းစားနဲ့,6000,Queue
คิดบวก หรือ คิดลบ.,အကောင်းမြင် သို့ မကောင်းမြင်သည်,5200,Queue
คิดเอาแล้ว.,စဥ်းစားလို့ရပြီ,4500,Queue
คิดเอาแล้วว่าต้องทำยังไง.,ဘာလုပ်ရမလဲ စဥ်းစားလို့ရပြီ,4300,Queue
ทำอะไรอยู่,ဘာလုပ်နေတာလဲ,7000,Queue
ทำงานอยู่,အလုပ်လုပ်နေတယ်,4500,Queue
ไม่ทำอะไร.,ဘာမှမလုပ်ဘူး,6000,Queue
กินข้าวหรือยัง,ထမင်းစားပြီးပြီလား,4000,Queue
ยังไม่ได้กิน,မစားရသေးဘူး,5000,Queue
หิวข้าวหยัง,ထမင်းဆာပြီလား,6500,Queue
หิวข้าวแล้ว,ထမင်းဆာပြီ,7000,Queue
ยังไม่หิว,မဆာသေးဘူး,5500,Queue
ไม่อยากกินอะไรเลย.,ဘာမှမစားချင်ဘူး,6500,Queue
ไปอะไร.,ဘာဖြစ်တာလဲ,8500,Queue
ของหาย.,ပစ္စည်းပျောက်တယ်,5500,Queue
ทำหายอยู่.,လိုက်ရှာနေတာ,6500,Queue
หาเจอไหม.,ရှာတွေ့လား,7000,Queue
หาไม่เจอ.,ရှာမတွေ့ဘူး,5500,Queue
ช่วยหาหน่อย.,ကူရှာပေးဦး,11000,Queue
หาให้เจอ.,တွေ့အောင််ရှာ,7000,Queue
หาเจอแล้ว.,ရှာတွေ့ပြီ,8000,Queue
วันนี้ไม่ไปทำงานแล้ว.,ဒီနေ့အလုပ်မသွားဘူးလား,6000,Queue
วันนี้วันหยุด.,ဒီနေ့နားရက်,7000,Queue
ผมควรทำอย่างไร?.,ဘာလုပ်ရင်ကောင်းမလဲ,8000,Queue
น้ำมันเบนซิน 95 เต็มถัง.,full tank of Gasoline 95,10,Queue
เท่าไร?.,how much?,10,Queue
มีตำรวจแถวนี้บ้างไหม?.,ဒီနားမှာ ရဲတွေရှိလား။,10,Queue
ตำรวจ.,ရဲ,10,Queue
ศรีภูมิ.,စီဖွန်း,1500,Queue
พระสิงห์.,ဖရားဆင်း,1500,Queue
หายยา.,ဟိုက်ယာ,1500,Queue
ช้างม่อย.,ချန်းမွိုင်,1500,Queue
ช้างคลาน.,ချန်းခလန်,1500,Queue
วัดเกต.,ဝက်ကတ်,1500,Queue
ช้างเผือก.,ချန်ဖုခ်,1500,Queue
สุเทพ.,ဆုထက်,1500,Queue
แม่เหียะ.,မဲ့ဟဲား,1500,Queue
ป่าแดด.,ပါဒဲ့,1500,Queue
หนองหอย.,နွန်းဟွိုင်,1500,Queue
ท่าศาลา.,သဲဆာလား,1500,Queue
หนองป่าครั่ง.,နွန်းပါခရန်း,1500,Queue
ฟ้าฮ่าม.,ဖာဟမ်,1500,Queue
ป่าตัน.,ပါတန်,1500,Queue
สันผีเสื้อ.,ဆန်ဖီဆု့ာ,1500,Queue
คุณช่วยอธิบายเป็นภาษาอังกฤษได้ไหม.,can you explain it in English?,1800,Queue
ผมมาจากประเทศพม่าคับ.,I am from Myanmar.,10,Queue
ผมอาศัยอยู่บนถนนห้วยแก้ว.,I am living on Huay Kaew Road,300,Queue
ใกล้กับห้างสรรพสินค้าเมญ่า.,nearby Maya Shopping Mall.,300,Queue
ผมเป็นนักออกแบบกราฟิก.,I am a graphic designer,1000,Queue
ฉันมีประสบการณ์ในสาขานี้มานานถึงสิบปี.,I have decade of experience in this field.,1000,Queue
ผมชอบอ่านหนังสือ .,I like reading book,-,Queue
ผมมักจะอ่านหนังสือเสียง.,I use to read audio-book.,500,Queue
ผมชอบท่องเที่ยว.,ခရီးသွားရတာကြိုက်တယ်,1000,Queue
ผมเคยไปรอบๆ เชียงใหม่.,ချင်းမိုင်အနှံ့လျှောက်သွားတတ်တယ်,500,Queue
ผมชอบอาหารทะเลยกเว้นปู.,ဂဏန်းကလွဲရင် ပင်လယ်စာကြိုက်တယ်။,600,Queue
ผม พูดภาษาไทยได้ไม่ค่อยเก่ง.,ထိုင်းစကား ကောင်းကောင်း မပြောတတ်ဘူး။,500,Queue
แต่กำลังพยายามอยู่ครับ.,ဒါပေမယ့် ငါကြိုးစားနေတယ်။,500,Queue
ขณะนี้ผมทำงานระยะไกลจากประเทศเมียนมาร์.,now I am working remote-jobs from Myanmar.,500,Queue
ไม่ยุติธรรม.,ဟ,"1,500",Queue
ถอดหมวก.,ဦးထုပ်ကိုချွတ်ပါ။,500,Queue
คุณชื่ออะไรครับ.,ခင်ဗျားနာမည်ဘယ်လိုခေါ်ပါသလဲ,500,Queue
คุณสบายดีไหมครับ.,နေကောင်းပါသလားခင်ဗျ,500,Queue
ผมสบายดีครับ.,ကျွန်တော်နေကောင်းပါတယ်,500,Queue
ผมไม่หิวครับ.,ကျွန်တော်ဗိုက်မဆာပါဘူး,500,Queue
ผมไม่ง่วงครับ.,ကျွန်တော်အိပ်မငိုက်ပါဘူး,500,Queue
สวัสดีครับ.,Nice to meet you!,10,Queue
ชื่อผม...ครับ.,My name is Peter.,500,Queue
ผม อายุ (your age) ปีครับ.,I am (your age) years old.,10,Queue
ผมไม่คนโสดคับ.,ကျနော်လူလွတ်မဟုတ်ပါ,1300,Queue
ผม อาศัยอยู่ที่ (your city/country) ครับ.,I live in Chiang Mai.,1000,Queue
ผม ทำงานเป็น (your job title) ครับ.,I work as a (your job title).,500,Queue
ผม ชอบอ่านหนังสือครับ.,I like to read books.,500,Queue
ผม ชอบอาหารไทยมากคับ.,I really like Thai food.,500,Queue
โดยเฉพาะอย่างยิ่ง.,အထူးသဖြင့်,2000,Queue
ภาษาไทยสวยมากเลยคับ.,Thai is a very beautiful language.,2000,Queue
ผม อยากพูดภาษาไทยเก่งๆ คับ.,I really want to speak Thai fluently.,1500,Queue
ผัดไทย.,ဖတ်ထိုင်း ဆန်ခေါက်ဆွဲကြော်,500,Queue
ต้มยำกุ้ง.,တုံယမ်းဟင်းရည်,500,Queue
ข้าวผัดสับปะรด.,နာနတ်သီးထမင်းကြော်,500,Queue
ส้มตำไทย.,ထိုင်းသင်္ဘောသီးသုပ်,500,Queue
ส้มตำลาว.,လာအိုသင်္ဘောသီးသုပ်,500,Queue
แกงมัสมั่น.,ချစ်တီးဟင်း,1500,Queue
ไก่ผัดเม็ดมะม่วง.,အစိမ်းကြော်,1000,Queue
ผัดกะเพราหมู.,ဝက်ပင်စိမ်း,500,Queue
ต้มข่าไก่.,ကြက်အုန်းနို့ဟင်း,1000,Queue
ก๋วยเตี๋ยว.,ကွေ့တယို,500,Queue
ร้านแร็คหลังคา.,ကားအမိုးပစ္စည်းတင်,1000,Queue
อะ.,"ประตู ပရ,သူး - တံခါး",5500,Queue
อั.,อังคาร အန်ခန် - အင်္ဂါ,5500,Queue
อา.,อา အာ - ဦးလေး,5500,Queue
อิ.,คิด ခိဒ် - စဥ်းစားသည်,5500,Queue
อี.,ดี ဒီ - ကောင်းကောင်း,5500,Queue
อึ.,ฝึก ဖုf(က်) - လေ့ကျင့်သည်,6000,Queue
อื.,คืน (ခူ-န်) ည,5500,Queue
อือ.,มือ မူး- - လက်,5500,Queue
อุ.,จุด ကျု့ထ် - အစက်,5500,Queue
อู.,ลูก လူး-က် - ကလေး ,6000,Queue
เอะ.,"เอะอะ အေ့အ, - ပူပန်ခြင်း",6000,Queue
เอ็.,เอ็นดู အေယ်န်ဒူး - ချစ်စရာကောင်းသော,6000,Queue
เอ.,เอกสาร အေးကဆန် - စာရွက်စာတမ်း,5500,Queue
แอะ.,และ လက် - နှင့်,5500,Queue
แอ็.,แอ็คชั่น - အယ်ချင်န်,5500,Queue
แอ.,แข่ง ခယ်း--န် - ပြိုင်ပွဲ,6000,Queue
โอะ.,โต๊ะ သို့ - စားပွဲ,5500,Queue
โอ.,โชค ချိုးဒ် - လာဘ်,6000,Queue
เอาะ.,เอาะ အော့ - လာပါ,5500,Queue
อ็อ.,อ็องรี - အောယ်နရီ,5500,Queue
ออ.,พ่อ ဖော- - အဖေ,5500,Queue
อ็.,ก็ ကော-ယ် - လည်းပဲ,5500,Queue
เออะ.,เยอะ ယဲ့ယ် - အများအပြား,5500,Queue
เออ.,เธอ ထယ်း - မ နာမ်စား,5500,Queue
เอิ.,เดิน ဒိါန်း - လျှောက်သည်,5500,Queue
เอียะ.,ปอเปี๊ยะ ပေါ်ပီးယ - ကော်ပြန့်,5500,Queue
เอีย.,เมีย မီးယား - ဇနီး,5500,Queue
เอือะ.,မရှိ,5500,Queue
เอือ.,เรือ ရူးrယျား - လှေ,5500,Queue
อัวะ.,ဝ - ငါ (တရုတ်စကား),5500,Queue
อัว.,ตัว သူး(ဝါး) - ခန္ဓာကိုယ်,6000,Queue
อว.,กวน ကိုာန် - မွှေသည်,6000,Queue
อิว.,หิว ဟိ-(ဝူ) - ဆာသည်,5500,Queue
เอ็ว.,เร็ว ရဲ(ဝူ) - မြန်သည်,5500,Queue
เอว.,เอว အေး(ဝို) - ခါး,6500,Queue
แอว.,แมว မယ်း(ဝ်) ကြောင်,6500,Queue
เอา.,เรา (ရောင်းrဝ်) ငါတို့,5500,Queue
อาว.,ขาว ခါ(ဝ်) အဖြူ,5500,Queue
เอียว.,เขียว (ခိယို(ဝ်)) အစိမ်း,5500,Queue
อัย.,วัยรุ่น ဝိုင်းယ်ရွုန်း - ဆယ်ကျော်သက်,6000,Queue
ใอ.,ใจ ကျိုင်းအ် - စိတ်,5500,Queue
ไอ.,ไม่ မိုင်အ် - အငြင်းဝါကျ,5500,Queue
ไอย.,ไทย ထိုင်း(ယ်) - ထိုင်း,5500,Queue
อาย.,อาย အိုာင်းယ် - ရှက်သည်,5500,Queue
อ็อย.,อ็อย အွိုင်း(ယ်) - ဆီ (အင်္ဂလိပ်မွေးစား),5500,Queue
ออย.,ลอย လွေိုင်းယ် - မျောသည်,6500,Queue
โอย.,โดย ဒိုးဝ်ယ် - အားဖြင့်,5500,Queue
อุย.,คุย ခူးယ် - ပြောသည်,6500,Queue
เอย.,เคย ခေး(ယ်) အမြဲတမ်း,5500,Queue
อวย.,สวย ဆို(ဝေယ်) - လှပသည်,5500,Queue
เอือย.,เอือย အူး(ဝေးယ်) - ပျင်းသည်,5500,Queue
อำ.,ทำ (ထမ်) - လုပ်သည်,5500,Queue
ฤ.,ฤดู ရစ်rဒူ - ဥတု,5500,Queue
ฤา.,ฤา ရူr - သို့မဟုတ်,5500,Queue
ฦ.,ฦทธิ์ လက်ရစ်r - အစွမ်း,6500,Queue
ฦา.,ฦาชา လာချာ - ဘုရင်,5500,Queue
อํ.,ปุริสํ ပူရိဆံ - ဆီး,5500,Queue
อ์.,จอห์น ကျွေန်,5500,Queue
บวก.,အပေါင်းလက္ခဏာ (+),500,Queue
สีทาลา.,color for the donkey,1200,Queue
งูมีจอ.,snake has the screen,1200,Queue
จอดูนา.,dog see the field,1200,Queue
อาพามา.,uncle brings me,1200,Queue
ดูกาชา.,look at the tea pot,1200,Queue
แน่นอน.,ဒါပေါ့,3000,Queue
อื่น.,နောက်တစ်ခု,100,Queue
